original_img_file,new_img_file,phrase
3528.jpg,244.jpg,the bird above 'PEPPER'
3528.jpg,245.jpg,rightmost bird above the pepper grass lane sign
2585.jpg,246.jpg,The book by BRIDGET JONES
2585.jpg,247.jpg,the book by LINDSEY KELK
2852.jpg,248.jpg,THE WAY I USED TO BE book on the bottom right
2852.jpg,249.jpg,the book titled IT TAKES TWO
2852.jpg,250.jpg,THE DAINCI book on the bottom right
3844.jpg,251.jpg,SUMMER books on the shelf
3844.jpg,252.jpg,The book next to the SUMMER CITY book
3223.jpg,253.jpg,250 CASES IN CLINICAL MEDICINE book
3223.jpg,254.jpg,OBSTETRICS AND GYNAECOLOGY book
3223.jpg,255.jpg,pathology book
3223.jpg,256.jpg,lllustrated textbook 
3223.jpg,257.jpg,PAEDIATRIC PROTOCOLS 3rd Edition
4014.jpg,258.jpg,No. 5 bird
4014.jpg,259.jpg,No. 1 bird
4014.jpg,260.jpg,No. 4 bird
2319.jpg,261.jpg,No.8 bird
2319.jpg,262.jpg,No. 7 bird
3244.jpg,263.jpg,The book with CENETICS written on it
3244.jpg,264.jpg,The book with a label of USED
3244.jpg,265.jpg,The book named Biochemistry
1787.jpg,266.jpg,The book named The Brief Wondrous Life of Oscar Wao and written by Junot Diaz
1787.jpg,267.jpg,The black book named CLASSICAL MYTHOLOGY on the right
1787.jpg,268.jpg,The book named WHITE LIKE ME where the letter I on it is very light in color
2477.jpg,269.jpg,The bird with the E6 foot ring
4581.jpg,270.jpg,The clock above the London label
4581.jpg,271.jpg,The clock above the Moscow label
4581.jpg,272.jpg,The clock above the Sydney label
4581.jpg,273.jpg,The clock above the Hong Kong label
2244.jpg,274.jpg,The watch above the 7000 price tag
2244.jpg,275.jpg,The watch above the 7450 price tag
1352.jpg,276.jpg,The watch above the 7350 price tag
1352.jpg,277.jpg,The watch above the 11000 price tag
1352.jpg,278.jpg,The watch above the 31600 price tag
3023.jpg,279.jpg,the amoxycillin box on the right
3023.jpg,280.jpg,the amoxycillin box on the left
3690.jpg,281.jpg,the wellbutrin bottle
3690.jpg,282.jpg,the fluoxetine bottle
4035.jpg,283.jpg,the bottle of opdivo
4035.jpg,284.jpg,the opdivo box
4035.jpg,285.jpg,the keytruda box
2337.jpg,286.jpg,the rolled gauze
2337.jpg,287.jpg,a closed box of gentle tape
2337.jpg,288.jpg,a box of neosporin
2337.jpg,289.jpg,a box of sheep strips
3374.jpg,290.jpg,the beaker with a tag of A
3374.jpg,291.jpg,the beaker with a tag of B
2935.jpg,292.jpg,the advanced eye relief box
2935.jpg,293.jpg,the box of infant's gas relief
2935.jpg,294.jpg,the tylenol box
1972.jpg,295.jpg,the extended-release capsules bottle
1972.jpg,296.jpg,the citalopram bottle
1972.jpg,297.jpg,the wellbutrin bottle
1501.jpg,298.jpg,the water cup
1501.jpg,299.jpg,the salt water cup
1501.jpg,300.jpg,the vinegar cup
3783.jpg,301.jpg,the iron bottle
3783.jpg,302.jpg,the source naturals brand B 12 bottle 
3783.jpg,303.jpg,the premium fish oil bottle
3783.jpg,304.jpg,the C 1000mg bottlle
3684.jpg,305.jpg,the acid bottle 
3684.jpg,306.jpg,the red cabbage extract tube
3684.jpg,307.jpg,the alkali bottle
913.jpg,308.jpg,the distilled water bottle
913.jpg,309.jpg,the acid reagent 
3320.jpg,310.jpg,the captoprill tablets bottle
3320.jpg,311.jpg,the fosinopril sodium tablets bottle
1639.jpg,312.jpg,the duviral lamivudine zidovudine bottle
3459.jpg,313.jpg,the baby's jarro-dophilus bottle
3459.jpg,314.jpg,the infant's probiotic bottle
2895.jpg,315.jpg,the ammonium hydroxide bottle
2895.jpg,316.jpg,the potassium hydroxide bottle
2895.jpg,317.jpg,the sodium hydroxide bottle
2640.jpg,318.jpg,the centrum flavor burst mixed fruit bottle
2640.jpg,319.jpg,the centrum chewables adults bottle
2640.jpg,320.jpg,the centrum silver box
2394.jpg,321.jpg,the chloric acid bottle
2394.jpg,322.jpg,the sodium 0.5 M NaOH bottle
2394.jpg,323.jpg,the sodium 1 M bottle
4051.jpg,324.jpg,the WHOLE FOODS brand thyroid complete bottle
4051.jpg,325.jpg,the thyroid health formula bottle
195.jpg,326.jpg,the dexmethsone 4 mg bottle
195.jpg,327.jpg,the dexmethsone 0.5 mg bottle
373.jpg,328.jpg,the focusene bottle
373.jpg,329.jpg,the sleep fast bottle
1150.jpg,330.jpg,the bayer bottle
1150.jpg,331.jpg,the blue alka-seltzer box
1150.jpg,332.jpg,the advil box
3003.jpg,333.jpg,the cymbalta bottle
3003.jpg,334.jpg,the duloxetine delayed-release capsules bottle
139.jpg,335.jpg,the aspirin bottle
139.jpg,336.jpg,the biotin bottle
139.jpg,337.jpg,the pain relief bottle
139.jpg,338.jpg,the vitamin d bottle
27.jpg,339.jpg,the number 2 bottle
27.jpg,340.jpg,the number 1 bottle
27.jpg,341.jpg,the number 3 bottle
1202.jpg,342.jpg,the aesculus cortex d2 bottle
2238.jpg,343.jpg,the hamburguesas vegetales 2x100g box
1485.jpg,344.jpg,the kikkoman soy sauce bottle
1485.jpg,345.jpg,the garlic salt bottle on the left
868.jpg,346.jpg,the corn can
868.jpg,347.jpg,the vegetable broth can
868.jpg,348.jpg,the diced tomatoes
3599.jpg,349.jpg,the first strawberry paletas box from the left
3599.jpg,350.jpg,the pineapple box
3599.jpg,351.jpg,the mango box
3599.jpg,352.jpg,the raspberry box
2797.jpg,353.jpg,the caffe latte can
2797.jpg,354.jpg,the premium gold jar
2797.jpg,355.jpg,the ucc balck jar
850.jpg,356.jpg,the red silk soy beverage box
850.jpg,357.jpg,the white silk soy beverage box
850.jpg,358.jpg,the blue silk soy beverage box
3935.jpg,359.jpg,the orange tresor box
3935.jpg,360.jpg,the blue tresor box
3935.jpg,361.jpg,the nesquik box
54.jpg,362.jpg,the redpack diced tomatoes can
54.jpg,363.jpg,the black beans can
54.jpg,364.jpg,the low sodium vegetable juice can
54.jpg,365.jpg,the chicken broth can above
992.jpg,366.jpg,the chobani oat plain box
992.jpg,367.jpg,the chobani oat chocolate box
992.jpg,368.jpg,the chobani oat vanilla box
1246.jpg,369.jpg,the orange chilli box
1246.jpg,370.jpg,the honeycomb chilli box
1246.jpg,371.jpg,the cocoa nibs chili box
1246.jpg,372.jpg,the extreme chili box above the sea salt label
1246.jpg,373.jpg,the moofree crunchy box
4248.jpg,374.jpg,the harvey fresh milk box on the right
4248.jpg,375.jpg,the pura fresh milk box on the right
2647.jpg,376.jpg,the seed fruit bag
2647.jpg,377.jpg,the bare fruit bag
2647.jpg,378.jpg,the crisps bag
2304.jpg,379.jpg,the soft puffs bag
2304.jpg,380.jpg,the sweetwists bag on the right
2304.jpg,381.jpg,the caramel creams bag
2444.jpg,382.jpg,the reduced sodium black beans jar
2444.jpg,383.jpg,the stewed tomatoes can
2444.jpg,384.jpg,the diced tomatoes can
2794.jpg,385.jpg,the polycrylic can
2794.jpg,386.jpg,the paint thinner box
2794.jpg,387.jpg,the martha living jar
2794.jpg,388.jpg,the soft wax can above
2257.jpg,389.jpg,the organics tomato paste can
3832.jpg,390.jpg,the roasted cashew treat bag
3832.jpg,391.jpg,the cacao bag
3832.jpg,392.jpg,the first sea salt bag from the left
1027.jpg,393.jpg,the halo top with 280 calories per pint cup
1027.jpg,394.jpg,the halo top cinnamon roll cup
1027.jpg,395.jpg,the halo top peanut butter cup
1027.jpg,396.jpg,the sea salt caramel cup
2213.jpg,397.jpg,the first red oryza bag from the left on the upper shelf
2213.jpg,398.jpg,the first oryza bag from the right on the upper shelf
2213.jpg,399.jpg,the fourth oryza bag from the left on the upper shelf
2119.jpg,400.jpg,the cheerios oats box 
2119.jpg,401.jpg,the blue rice chex box on the right
4179.jpg,402.jpg,the greentea box on hand
3034.jpg,403.jpg,the red ready meals bag on the bottom shelf
3034.jpg,404.jpg,the second ready meals bag from the right on the lower shelf
3034.jpg,405.jpg,the first ready meals bag from the right on the upper shelf
3034.jpg,406.jpg,the second ready meals bag from the right on the upper shelf
3034.jpg,407.jpg,the first ready meals from the right on the lower shelf
3510.jpg,408.jpg,the lifewater pacific coconut box
3510.jpg,409.jpg,the lifewater strawberry kiwi box
3510.jpg,410.jpg,the lifewater yumberry box
1037.jpg,411.jpg,the chewy snowday box
1037.jpg,412.jpg,the chewy chocolate chip box on the left
1037.jpg,413.jpg,the brownie double chocolate box
1037.jpg,414.jpg,the fig bar box
4578.jpg,415.jpg,the sharp cheddar bag
4578.jpg,416.jpg,the self rising flour bag
4578.jpg,417.jpg,the chicken broth box
2192.jpg,418.jpg,the bush's reduced sodium product
2192.jpg,419.jpg,the pumpking canister
2192.jpg,420.jpg,the petite diced tomatoes can 
4333.jpg,421.jpg,the cream cheese box
4333.jpg,422.jpg,the salted butter box
4333.jpg,423.jpg,ther sugar bag
617.jpg,424.jpg,the 5th season bottle
3486.jpg,425.jpg,the costa latte bag
3486.jpg,426.jpg,the costa americano bag
3921.jpg,427.jpg,the benylin 4flu box
3921.jpg,428.jpg,the benylin day&night box
3921.jpg,429.jpg,the sinutab box
316.jpg,430.jpg,the oxycodone hydrochloride tablets bottle
316.jpg,431.jpg,the hydrocodone bitartrate and acetaminophen tablets bottle
316.jpg,432.jpg,the morphine sulfate tablets bottle
4032.jpg,433.jpg,the sodium bicarbonate injection bottle
4032.jpg,434.jpg,the lidocaine bottle
4534.jpg,435.jpg,the zicam cold remedy box on the far left
4534.jpg,436.jpg,the pre-cold box on the far right
4584.jpg,437.jpg,the b-100 bottle
4584.jpg,438.jpg,the b-20 bottle
4584.jpg,439.jpg,the b-0 bottle 
1466.jpg,440.jpg,the first Ultra can from left to right on the shelf
1466.jpg,441.jpg,the second Ultra can from left to right on the shelf
1466.jpg,442.jpg,the first Super Oil can from left to right on the shelf
1212.jpg,443.jpg,the first Horizon box from left to right on the top shelf
1212.jpg,444.jpg,the second Horizon box from left to right on the top shelf
1212.jpg,445.jpg,the third Lucerne box from left to right on the bottom shelf
1212.jpg,446.jpg,the first a2 Milk box from left to right on the top shelf
975.jpg,447.jpg,the Big Kids box
975.jpg,448.jpg,an Orajel box
975.jpg,449.jpg,the Tom's Children's bottle
876.jpg,450.jpg,the Papaya milk drink
876.jpg,451.jpg,the Bird's Nest drink
876.jpg,452.jpg,the Sugar Cane Juice can
1208.jpg,453.jpg,the second Tom's bottle from left to right on the shelf
1208.jpg,454.jpg,the third Colgate bottle from left to right on the shelf
1208.jpg,455.jpg,the first Kids bottle from left to right on the shelf
2938.jpg,456.jpg,the Milo box
2938.jpg,457.jpg,the second Corn Flakes box from left
2938.jpg,458.jpg,an Ovaltine bottle
2938.jpg,459.jpg,the first Diamond Milk bottle from left to right on the bottom shelf
959.jpg,460.jpg,the Bluberry crush bag
959.jpg,461.jpg,the Orange Squeese bag
119.jpg,462.jpg,the E-EPA box in the upper left corner
119.jpg,463.jpg,the box above the price tag of 11
119.jpg,464.jpg,the Gerimax box
119.jpg,465.jpg,the second MegaRed box from left to right on the middle shelf
235.jpg,466.jpg,the bag beneath the price tag of 1.89
235.jpg,467.jpg,the box above the price tag of 1.89
3117.jpg,468.jpg,the lower bottle which was marked with 240
3117.jpg,469.jpg,the s'mores flavoured halo cup on the bottom
3117.jpg,470.jpg,the s'mores flavoured halo cup on top
3117.jpg,471.jpg,green cup with number 240 on top
200.jpg,472.jpg,the Toffee Crisp bag
200.jpg,473.jpg,the Yorkie bag
200.jpg,474.jpg,the Bacon bag
200.jpg,475.jpg,the Nobby's bag
4241.jpg,476.jpg,the Hazel Nut ice cream
4241.jpg,477.jpg,the Top Deck ice cream
2049.jpg,478.jpg,the Totino's box in the upper left corner
2049.jpg,479.jpg,the pizza sticks of Cheese flavor
4576.jpg,480.jpg,the Mango box
4576.jpg,481.jpg,strawberry flavoured fruit pops
4576.jpg,482.jpg,the Orange flavoured fruit pops
1345.jpg,483.jpg,a box of minis pancakes
1345.jpg,484.jpg,a box of chocolatey chip
1345.jpg,485.jpg,the Double Chocolatey Eggo 
1345.jpg,486.jpg,the first Eggo box from right to left on the top shelf
3347.jpg,487.jpg,the Eggo box in the upper right
3347.jpg,488.jpg,the Eggo box in the upper left 
3347.jpg,489.jpg,the Wafflers box
2058.jpg,490.jpg,the Custard box
2058.jpg,491.jpg,the first Lotte Pie box from left
1756.jpg,492.jpg,the Apple box 
1756.jpg,493.jpg,the second 365 box from left to right on the top shelf
1756.jpg,494.jpg,the third Mixed Berry box from left to right on the top shelf
1756.jpg,495.jpg,the Nature Valley box in the lower right corner
1756.jpg,496.jpg,the 365 box in the lower left corner
3096.jpg,497.jpg,the cup of vanilla bean halo top
3096.jpg,498.jpg,the cinnamon roll flavored halo top
3096.jpg,499.jpg,the higher 320 bottle
3314.jpg,500.jpg,the 360 bottle
3314.jpg,501.jpg,the Ben& Jerry's bottle
3314.jpg,502.jpg,the Arctic Zero bottle
3314.jpg,503.jpg,the 330 calories cup of cream
416.jpg,504.jpg,the 280 calories cup
416.jpg,505.jpg,the first Halo Top bottle from left to right on the shelf
1332.jpg,506.jpg,the first Elavil bottle from left to right on the middle shelf
1332.jpg,507.jpg,the second Elavil bottle from left to right on the middle shelf
871.jpg,508.jpg,the Mucus Relief bottle
871.jpg,509.jpg,the ibuprofen bottle
1949.jpg,510.jpg,an Oscillococcinum box
1949.jpg,511.jpg,the bigger Breathe Right box
1949.jpg,512.jpg,the smaller Breathe Right box
1949.jpg,513.jpg,leftmost Sambucol 
1747.jpg,514.jpg,the Claritin box
1747.jpg,515.jpg,the Allegra box
1747.jpg,516.jpg,the SILARX box
2524.jpg,517.jpg,the highest Ohm box
2524.jpg,518.jpg,the Claritin box
2524.jpg,519.jpg,the Loratadine box in front
3436.jpg,520.jpg,the Cetirizine box
3436.jpg,521.jpg,the taller Benadryl box
3436.jpg,522.jpg,the shorter Benadryl box
3436.jpg,523.jpg,the Allergy Relief box in the upper right corner
3436.jpg,524.jpg,the Zyrtec box
1493.jpg,525.jpg,the shorter Ester-C box
1493.jpg,526.jpg,the taller Ester-C box
1493.jpg,527.jpg,the Nerve Tonic box
267.jpg,528.jpg,the Sugar Free Formula box
267.jpg,529.jpg,the Sambucus box
267.jpg,530.jpg,the Oscillococcinum box
267.jpg,531.jpg,the Breathe Right box
2155.jpg,532.jpg,the QC Immune Support box
2155.jpg,533.jpg,the Airborne bottle
2155.jpg,534.jpg,the Airborne box
3662.jpg,535.jpg,the D3 bottle with mark of 25mcg
3662.jpg,536.jpg,the C complex bottle
3662.jpg,537.jpg,the vitafusion bottle
4136.jpg,538.jpg,the Immune Support box
4136.jpg,539.jpg,the Sambucus box
4136.jpg,540.jpg,the Airborne bottle
4136.jpg,541.jpg,the vitafusion bottle
